id,choice,color,block,weights,trajectories,rewards
754,2,#f88253,1,"[-0.45424351  0.38990496 -0.08078387  0.11321776 -0.19330659  0.33935615
  0.04680268 -0.62467169 -0.278132  ]","[[(100, 0, 0), (95.41644009897952, -5.661559453968096, -0.5552857361335555), (90.01912438180403, 2.930395845661195, 18.557029672040585), (79.91334701127954, 24.676523991668034, 28.927894889650815), (67.62283795167193, 28.798757742384566, 38.57480670657523), (64.37780047449037, 44.6137529321274, 52.89582958083213), (60.17154466843016, 58.47595901049834, 53.58941322355403), (53.587523135658174, 68.90962520868393, 59.238196472858846), (48.35360940300204, 63.442658454636046, 55.73218427460546), (39.573674246075335, 55.326948609668136, 38.92948215399741), (37.17183293664747, 46.40727994366665, 22.33532647166092), (0, 0, 0)], [array([100,   0,   0]), array([90.01912438,  2.93039585, 18.55702967]), array([84.98442455, 15.65594216, 23.97790806]), array([79.91334701, 24.67652399, 28.92789489]), array([67.62283795, 28.79875774, 38.57480671]), array([64.37780047, 44.61375293, 52.89582958]), array([60.17154467, 58.47595901, 53.58941322]), array([53.58752314, 68.90962521, 59.23819647]), array([48.3536094 , 63.44265845, 55.73218427]), array([39.57367425, 55.32694861, 38.92948215]), array([0, 0, 0])], [array([100,   0,   0]), array([88.57128463, 16.96969512, -3.44056947]), array([81.82112322, 20.82152182,  9.97087504]), array([79.91334701, 24.67652399, 28.92789489]), array([67.62283795, 28.79875774, 38.57480671]), array([64.37780047, 44.61375293, 52.89582958]), array([60.17154467, 58.47595901, 53.58941322]), array([48.3536094 , 63.44265845, 55.73218427]), array([39.57367425, 55.32694861, 38.92948215]), array([28.01291745, 49.89657697, 23.33405929]), array([0, 0, 0])], [array([100,   0,   0]), array([95.4164401 , -5.66155945, -0.55528574]), array([90.01912438,  2.93039585, 18.55702967]), array([79.91334701, 24.67652399, 28.92789489]), array([67.62283795, 28.79875774, 38.57480671]), array([64.37780047, 44.61375293, 52.89582958]), array([60.17154467, 58.47595901, 53.58941322]), array([51.48699975, 69.57231519, 41.92374631]), array([32.99792357, 51.34944224, 34.56057911]), array([21.60867387, 36.18570898, 29.78779951]), array([0, 0, 0])]]","[0.17528327000327112, 0.15218848281942463, 0.12157129311929578, 0.10966640722861788]"
754,2,#f88253,1,"[-0.32200029 -0.13683066  0.69006588  0.09755289 -0.03553003 -0.12473303
 -0.26308635 -0.53502353 -0.14000131]","[[(100, 0, 0), (95.41644009897952, -5.661559453968096, -0.5552857361335555), (90.01912438180403, 2.930395845661195, 18.557029672040585), (79.91334701127954, 24.676523991668034, 28.927894889650815), (67.62283795167193, 28.798757742384566, 38.57480670657523), (64.37780047449037, 44.6137529321274, 52.89582958083213), (60.17154466843016, 58.47595901049834, 53.58941322355403), (53.587523135658174, 68.90962520868393, 59.238196472858846), (48.35360940300204, 63.442658454636046, 55.73218427460546), (39.573674246075335, 55.326948609668136, 38.92948215399741), (28.012917453201673, 49.89657696642496, 23.33405929291942), (0, 0, 0)], [array([100,   0,   0]), array([90.01912438,  2.93039585, 18.55702967]), array([84.98442455, 15.65594216, 23.97790806]), array([79.91334701, 24.67652399, 28.92789489]), array([67.62283795, 28.79875774, 38.57480671]), array([64.37780047, 44.61375293, 52.89582958]), array([60.17154467, 58.47595901, 53.58941322]), array([53.58752314, 68.90962521, 59.23819647]), array([48.3536094 , 63.44265845, 55.73218427]), array([39.57367425, 55.32694861, 38.92948215]), array([0, 0, 0])], [array([100,   0,   0]), array([88.57128463, 16.96969512, -3.44056947]), array([81.82112322, 20.82152182,  9.97087504]), array([79.91334701, 24.67652399, 28.92789489]), array([67.62283795, 28.79875774, 38.57480671]), array([64.37780047, 44.61375293, 52.89582958]), array([60.17154467, 58.47595901, 53.58941322]), array([48.3536094 , 63.44265845, 55.73218427]), array([39.57367425, 55.32694861, 38.92948215]), array([28.01291745, 49.89657697, 23.33405929]), array([0, 0, 0])], [array([100,   0,   0]), array([95.4164401 , -5.66155945, -0.55528574]), array([90.01912438,  2.93039585, 18.55702967]), array([79.91334701, 24.67652399, 28.92789489]), array([67.62283795, 28.79875774, 38.57480671]), array([64.37780047, 44.61375293, 52.89582958]), array([60.17154467, 58.47595901, 53.58941322]), array([51.48699975, 69.57231519, 41.92374631]), array([32.99792357, 51.34944224, 34.56057911]), array([21.60867387, 36.18570898, 29.78779951]), array([0, 0, 0])]]","[0.022668333843323583, 0.009009178037922262, -0.017046762124496496, -0.0351894988106469]"
754,0,#447ba0,2,"[ 0.62962465 -0.55611685 -0.23206634 -0.1251729   0.10486304  0.16857946
 -0.15481657  0.29640697  0.27118859]","[[(100, 0, 0), (90.35565968105638, -51.82511610695619, 27.301635630979746), (85.01691213217556, -46.84712948315372, 17.786342259078765), (84.89715057872216, -40.79231547787339, 5.485707032513119), (84.54961078077137, -47.48633699784705, -13.222387410607709), (80.6578636276149, -29.886793639834806, -21.479689439428157), (62.76602255279432, -27.958229959567262, -13.907302107106474), (57.67597540373936, -19.39054639310109, -28.22712372692098), (52.71571890389497, -7.538604313254581, -27.351846035858088), (39.190779247186846, -6.926690363536409, -11.966940856256201), (32.734718780944114, -0.14596868206250235, -10.9309757206413), (0, 0, 0)], [array([100,   0,   0]), array([ 90.35565968, -51.82511611,  27.30163563]), array([ 85.01691213, -46.84712948,  17.78634226]), array([ 84.89715058, -40.79231548,   5.48570703]), array([ 73.14686334, -36.89173999,  -5.33677984]), array([ 69.89196319, -24.29036112,  -9.90313697]), array([ 54.22549423, -17.58693028, -14.3292002 ]), array([ 52.7157189 ,  -7.53860431, -27.35184604]), array([0, 0, 0])], [array([100,   0,   0]), array([ 89.24826836, -53.58044416,   4.97539793]), array([ 77.41325945, -49.65907683,  -0.33750115]), array([ 74.16318561, -35.63114503, -20.97650349]), array([ 68.54582307, -25.32094345, -28.64253652]), array([ 57.6759754 , -19.39054639, -28.22712373]), array([ 52.7157189 ,  -7.53860431, -27.35184604]), array([ 43.70797463, -13.04804438, -26.21606672]), array([0, 0, 0])], [array([100,   0,   0]), array([ 89.24826836, -53.58044416,   4.97539793]), array([ 77.41325945, -49.65907683,  -0.33750115]), array([ 74.16318561, -35.63114503, -20.97650349]), array([ 68.54582307, -25.32094345, -28.64253652]), array([ 57.6759754 , -19.39054639, -28.22712373]), array([ 52.7157189 ,  -7.53860431, -27.35184604]), array([ 43.70797463, -13.04804438, -26.21606672]), array([0, 0, 0])]]","[0.2277100906540519, 0.17962846518154052, 0.12811426064822276, 0.12811426064822276]"
