id,choice,color,block,weights,trajectories,rewards
2494,"{1: 1, 0: 2, 2: 3, 3: 4}",#f88253,1,"[-0.76413362  0.53954576 -0.14618168  0.18320983 -0.19100938  0.12050683
  0.0728055   0.07317013 -0.09162029]","[[(100, 0, 0), (95.41644009897952, -5.661559453968096, -0.5552857361335555), (90.01912438180403, 2.930395845661195, 18.557029672040585), (84.98442455114173, 15.655942156028715, 23.977908056342756), (79.91334701127954, 24.676523991668034, 28.927894889650815), (72.44982426466923, 24.824320147725217, 48.79792513196057), (64.37780047449037, 44.6137529321274, 52.89582958083213), (60.17154466843016, 58.47595901049834, 53.58941322355403), (53.587523135658174, 68.90962520868393, 59.238196472858846), (48.35360940300204, 63.442658454636046, 55.73218427460546), (39.573674246075335, 55.326948609668136, 38.92948215399741), (32.99792357214824, 51.349442243065056, 34.56057911031212), (21.60867387249249, 36.18570898046019, 29.78779950861346), (0, 0, 0)], [array([100,   0,   0]), array([88.57128463, 16.96969512, -3.44056947]), array([81.82112322, 20.82152182,  9.97087504]), array([79.91334701, 24.67652399, 28.92789489]), array([67.62283795, 28.79875774, 38.57480671]), array([64.37780047, 44.61375293, 52.89582958]), array([60.17154467, 58.47595901, 53.58941322]), array([48.3536094 , 63.44265845, 55.73218427]), array([39.57367425, 55.32694861, 38.92948215]), array([28.01291745, 49.89657697, 23.33405929]), array([0, 0, 0])], [array([100,   0,   0]), array([95.4164401 , -5.66155945, -0.55528574]), array([90.01912438,  2.93039585, 18.55702967]), array([79.91334701, 24.67652399, 28.92789489]), array([67.62283795, 28.79875774, 38.57480671]), array([64.37780047, 44.61375293, 52.89582958]), array([60.17154467, 58.47595901, 53.58941322]), array([51.48699975, 69.57231519, 41.92374631]), array([32.99792357, 51.34944224, 34.56057911]), array([21.60867387, 36.18570898, 29.78779951]), array([0, 0, 0])], [array([100,   0,   0]), array([90.01912438,  2.93039585, 18.55702967]), array([84.98442455, 15.65594216, 23.97790806]), array([79.91334701, 24.67652399, 28.92789489]), array([67.62283795, 28.79875774, 38.57480671]), array([64.37780047, 44.61375293, 52.89582958]), array([60.17154467, 58.47595901, 53.58941322]), array([53.58752314, 68.90962521, 59.23819647]), array([48.3536094 , 63.44265845, 55.73218427]), array([39.57367425, 55.32694861, 38.92948215]), array([0, 0, 0])]]","[0.7200730508905167, 0.6667525278779068, 0.6548369151011131, 0.6524491705117631]"
2494,#447ba0,-0.5460939887947357,0.02373933599928381,0.19728254315827518,-0.4610433295646162,0.2365320390610208,0.2643707312737804,-0.5116312098914283,-0.24891791812755407,0.013058782524576006,-0.2733622966159346,-0.3684971150477987,-0.4968185630799413,-0.7139494514893736,1,2,3,4
2494,#447ba0,-0.5460939887947357,0.02373933599928381,0.19728254315827518,-0.4610433295646162,0.2365320390610208,0.2643707312737804,-0.5116312098914283,-0.24891791812755407,0.013058782524576006,-0.2733622966159346,-0.3684971150477987,-0.4968185630799413,-0.7139494514893736,1,2,3,4
